source_id,ra,dec,parallax,e_parallax,pmra,pmdec,phi1,phi2,pm1,pm2,e_pm1,e_pm2,g0,r0,i0,rv,e_rv,feh,memb_prob
582406189632833024,130.01259458407333,4.705572795554965,0.18030615024047347,0.27196070551872253,-2.0502095116795234,-10.67560807443219,-76.11726189800788,-2.347816468324485,-10.264550921706915,-3.5792403071530035,0.18270096474271452,0.30531242326011365,19.24874736368656,18.847869865596294,18.70598840340972,0.0,10000.0,-10000.0,0.719168960408643
582446459246191232,129.81445144497968,4.697130336012922,0.27979149726027375,0.20786507427692413,-2.5204283547968878,-11.00688347192071,-76.22364035618972,-2.181174537279827,-10.788142341492044,-3.3346705498162956,0.15852876073802638,0.21452925183820193,18.985871836543083,18.777556985616684,18.740677673369646,0.0,10000.0,-10000.0,0.9584009024273433
582459584666428032,129.91612525532696,4.908038867897345,-0.008368314644516265,0.21402883529663086,-2.2664152533160773,-10.78799767490387,-75.99018794420891,-2.16312559332247,-10.470387877609285,-3.447971813487992,0.14443809409487227,0.2391736335395448,18.76174906641245,18.575414545834064,18.51992826908827,0.0,10000.0,-10000.0,0.9371917088851811
582461371372666752,129.5566811127653,4.722341278258822,-0.2771584761018798,0.5170329213142395,-2.219358183590998,-10.54813849903352,-76.33057962104243,-1.9462021616601402,-10.241750630706795,-3.3608511660414675,0.41247664585217797,0.5248428143667209,20.74481561034918,19.98721630126238,19.59702068567276,0.0,10000.0,-10000.0,0.8824155296780902
582481196941091840,130.15551610166094,4.949871189004311,0.1097296634772284,0.13047316670417786,-2.406016512142579,-11.14984169765477,-75.83424674705611,-2.348476316971588,-10.851821552284928,-3.5136667936541883,0.08877889674840858,0.1417699802456588,18.011505275964737,17.759149201214314,17.64977302029729,0.0,10000.0,-10000.0,0.9432681970069778
582738448302173184,131.93447615986895,5.394588217282982,0.4248315824400182,0.2695002257823944,-3.0183520444018495,-11.09296816220778,-74.55625356933427,-3.655388175314804,-11.098075402698122,-2.999518972723305,0.22782142814369474,0.2938413915566209,19.395853847265244,19.075970515608788,18.9563899487257,194.244699947826,12.55235218740412,-1.7033307552337644,0.5225565086325797
594482645531168512,129.3937493642675,5.005535285003425,0.5558290601219077,0.7023380994796753,-1.2141024934590083,-12.21125495540561,-76.16663923464546,-1.6638814885544788,-11.17872526417482,-5.062103704848505,0.588185599701889,0.8921607235498124,21.69366806745529,20.691849410533905,19.73103005811572,0.0,10000.0,-10000.0,0.7125297236391689
594527034017905024,129.87001763797437,5.456496114526702,0.331901984249692,0.7123794555664062,-0.9742168546187441,-11.28695503757471,-75.53842814218973,-1.8483598044740372,-10.253231205779201,-4.818267566344968,0.44085189345461656,0.7773536410906662,20.46684481948614,20.124851293861866,20.054156865924597,0.0,10000.0,-10000.0,0.6283769525313311
594576786919302144,128.91982273964737,5.508249488274419,-0.29843452654877456,0.23973940312862396,-2.451383861231699,-11.47050540067632,-75.96743712464666,-1.003743969047545,-11.159327480454195,-3.6126426845221866,0.17629374571493325,0.27795171811688224,19.012033358216286,18.81765614077449,18.78479925915599,0.0,10000.0,-10000.0,0.7972582667399414
594587610237504128,129.35910142548198,5.569006676739652,0.2440033725805288,0.13907895982265472,-2.151468071956329,-10.89804354753939,-75.69599251762764,-1.3518944906315562,-10.51059731703168,-3.5949286596424916,0.10214861663004707,0.14567505060220337,18.326803542673588,18.101668067276478,18.027788177132607,0.0,10000.0,-10000.0,0.9681787715361897
