source_id,ra,dec,parallax,e_parallax,pmra,pmdec,phi1,phi2,pm1,pm2,e_pm1,e_pm2,g0,r0,i0,rv,e_rv,feh,memb_prob,desi_rv,desi_rv_err,desi_targetid
646097432190794368,142.74885256105128,26.15537581153664,0.2434207326283176,0.0985704138875007,-4.63289707445957,-13.1766702569125,-51.45254392003238,-1.3852969651361533,-13.491393144839872,-3.6153402845798928,0.0767196604073444,0.1056355695369784,17.516341969370842,17.271446745842695,17.187464028596878,47.0406971584034,2.744399391835598,-10000.0,0.7849379615602009,35.71801948166034,2.011060623419884,39628400138125714
693619935356130048,141.09671265832114,25.48086660268606,0.6428036398997787,0.2575366199016571,-3.5249185009684,-13.40222581837728,-52.84354366454386,-0.5294789637495496,-13.111304241219498,-4.487583806396,0.1790612902700257,0.3362790553559472,19.717911534011364,18.61880664527416,17.92305162549019,0.0,10000.0,-10000.0,0.862003770379029,44.52212432047835,2.9253149191141445,2305843014381076606
693636153152470272,140.54447627417818,25.25725951514833,0.6095022254629616,0.2377712130546569,-4.225936034697833,-12.39783178962196,-53.3054738204857,-0.236881520716511,-12.677152658642356,-3.294627281286216,0.1938300002227391,0.2798458213301223,20.08724174648524,18.94746942818165,18.29000421985984,0.0,10000.0,-10000.0,0.9323661158146408,32.72870728432189,4.197146308504274,2305843014381078058
693659006674064768,140.23657129603976,25.53379074967388,0.1180185762457005,0.0336441956460475,-4.1918189023077,-12.99771872016134,-53.22722310309263,0.1474549000695909,-13.16762720446592,-3.622931332827812,0.0247531771470646,0.0378811818577028,14.894714586436749,14.999709375202656,15.119553189724684,0.0,10000.0,-10000.0,0.9981618270255432,75.17665409807849,1.0850690913630396,2305843014381078292
693662339568755072,140.73140096273357,25.42283482555753,0.1119209322029819,0.0303309075534343,-4.3136764342692,-13.03182977528563,-53.07421651429172,-0.2866496724263509,-13.24972589514116,-3.589032651734478,0.0216332359365934,0.0319658024475167,15.11934758722782,14.712819147855043,14.722217056900265,0.0,10000.0,-10000.0,0.9995500553479448,95.2125498153014,0.9729518206570348,2305843014381080180
693690136597043840,140.71740368591838,25.78525579308486,0.0868572927678223,0.1380436271429062,-4.528033718916737,-13.11420888745104,-52.77885019584966,-0.0762500476137918,-13.436974296072885,-3.4544588389534017,0.0997007156813047,0.1470205203767884,17.974955312907696,17.759289544075727,17.69821235165,62.24796938291139,5.206795410544,-10000.0,0.9997904336763612,76.10356976724344,6.083258135249761,2305843014381080866
693718792618722432,141.0514380978146,25.63972473453023,0.1573844220138122,0.0167332980781793,-4.420309340027962,-12.78224807662134,-52.73387043060012,-0.4075089025658056,-13.092089911826402,-3.394434016810717,0.0117630753076739,0.0238728985185855,-999.0772773399948,16.8119731657207,-999.0409774556756,76.88953399658203,0.3350338314360084,-10000.0,0.9995363751684326,70.4603546589993,0.1956569055178092,2305843014381082181
693805963274941824,141.2696649244485,26.11936663993074,0.2951815748652578,0.1369583755731582,-4.361253782732238,-12.61581623160823,-52.22581130003175,-0.3050785329759135,-12.915017403764846,-3.373674437102219,0.1043257538434071,0.1728175506450698,18.036350451409817,17.83771338313818,17.775484930723906,0.0,10000.0,-10000.0,0.974787538315814,72.40688745460577,6.74362859725176,2305843014381077210
693819226133920512,141.21292625452992,26.21814954310811,0.0014183291494992,0.0680216699838638,-4.548436284734266,-13.16739247676228,-52.17187792443315,-0.2079062510956516,-13.47925778906056,-3.518253363450895,0.0417748098621585,0.0768155530041794,16.682849183678627,16.300358824431896,16.131709404289722,0.0,10000.0,-10000.0,0.9985736158367658,68.57154704906836,2.2412229394700764,2305843014381081764
693979239436838016,140.7057205360164,26.09115336963863,0.1489831840728407,0.2066745609045028,-4.756930303738877,-12.92990654255655,-52.52945313040499,0.1011897023457478,-13.409736700434689,-3.160669349819893,0.1094243671828528,0.2513027890556426,18.085182897746563,17.897915177047253,17.8498129658401,0.0,10000.0,-10000.0,0.993206117252474,71.51044469963128,4.172230558402124,39628394672949787
693988271750973952,140.9634512933555,26.28008167453988,0.3307105824678084,0.2343648076057434,-4.297274111145543,-13.19573736618137,-52.24422920300202,0.0126940483997095,-13.370733212823742,-3.717195552435863,0.1564688476085535,0.2725638525084935,18.901060238480568,18.700300611555576,18.63674620911479,0.0,10000.0,-10000.0,0.9978625975367106,69.07544944347968,6.228973613149556,39628400108768147
694022631489594112,141.16340025916475,26.59733403222109,-0.0168617649055601,0.1558518260717392,-4.686877456372843,-12.93998420751707,-51.88091462311661,0.0392559870841129,-13.368049356217025,-3.271890583682897,0.0916270834030767,0.1559075490527979,18.18311507254839,17.997522212564945,17.92239898443222,0.0,10000.0,-10000.0,0.997861556870252,74.61492327816308,4.221845976466258,39628405536197510
694190173869174656,141.7570090431539,26.40672638674063,0.0606263594479068,0.1054370775818824,-4.503720568411867,-12.66856789288769,-51.743819083760286,-0.5082314632823992,-13.025313385285028,-3.3342649310089043,0.0766293773634912,0.1435493546108653,17.367167465388775,17.345849603414536,17.261386517435312,59.93012399388439,3.56238581162072,-1.9266047477722168,0.9969415668759536,59.68265767040592,4.236725158892729,2305843014385280332
694256312069972992,142.0169662719632,27.17597179536935,0.0053761399610991,0.1035114303231239,-4.590392643249638,-13.05817708580548,-50.97626610203986,-0.2705855448771466,-13.389497261573444,-3.508426499981568,0.0717640059711125,0.1093642097625292,-999.073094598949,-999.052332226187,20.02284023538232,0.0,10000.0,-10000.0,0.999284090105194,60.28060016338172,2.756975059978456,39628421747182529
694336129742268032,142.35004604272,27.17248161802858,0.214284435164054,0.1907380521297454,-4.564234820816974,-12.78553335673503,-50.81290611242355,-0.5178294768561952,-13.13987515086916,-3.4125919380016003,0.1223992939563149,0.2008809218782122,18.412895157933235,18.2518314383924,18.197386875748634,0.0,10000.0,-10000.0,0.9905267323663608,56.74260956880366,5.990197854222889,39628421751378269
694353756288124288,142.15017501645843,27.33780098027531,-0.0488651364036302,0.0740092024207115,-4.567493482429938,-12.88099605002656,-50.77587231550496,-0.2779766231873164,-13.226158896817193,-3.4424957209825613,0.0552103590753531,0.0791990795862103,16.78764048218727,16.38473405316472,16.21072179824114,0.0,10000.0,-10000.0,0.9989756142252972,57.9931786797333,1.3598007598060202,39628421751374962
694411691103568256,141.56848250540614,26.96778526233511,0.1492402345489765,0.1551873534917831,-4.453756636296978,-13.09569407353086,-51.37198019072173,-0.055573066925814,-13.35703659713234,-3.5948191589755782,0.0917985409361939,0.1985063052146953,17.973545119166374,17.779075033962727,17.710075214505196,67.32054771000878,4.580984650318159,-10000.0,0.9998922566528368,63.37329996408172,3.339570203207927,39628416353308006
790085725458274816,172.7810003577126,50.08640047207546,0.3065324509841528,0.1166521981358528,-7.1309791412426815,-8.196900163556624,-18.23773415570821,-1.9957288178748591,-10.56112697296769,-2.5500260518291085,0.0832594867769764,0.0974355925368639,18.24288995191455,18.01741411909461,17.944519659504294,-155.86532528867863,2.3327392633551893,-2.4320165779982594,0.8186312623717054,-155.42831595022707,1.8729198591220664,39633247985992936
