phi1_deg,dist_med,dist_err
-85.0000,76.7085,3.0495
-70.3571,46.3562,0.4452
-55.7143,33.8962,0.4753
-41.0714,26.8176,0.4038
-26.4286,22.6823,0.2847
-11.7857,19.6932,0.9079
17.5000,17.3862,1.4011
32.1429,16.8299,0.5182
46.7857,16.9878,0.4269
61.4286,20.3673,0.9249
76.0714,22.6960,0.6499
90.7143,29.1609,0.4723
105.3571,37.5748,1.0217
120.0000,49.5643,2.7695
