source_id,pmra,pmdec
4972385107184197760,2.534145767075618,-4.762717987474028
4973220907820210048,1.3219153634392624,-2.2341033957309895
4973391052946874496,6.5326887472674615,-2.8427561946903737
6500920704623447808,7.18693141342709,-3.4591656249807894
6502313412194534400,1.8711815303482686,-2.8256621805206903
6502324849690718848,0.6936917068311725,-2.007160147587823
6502393264226537344,8.070558231515117,-2.3568295910952024
6502469405406884608,6.106996404400878,-6.1992363642155865
6512677404501586048,0.33409316324415683,-3.6963701442803387
6512895932437355904,6.925915916751496,-5.634639008586369
6512984413060043136,3.513135303581476,-2.311372253790707
6513037047882971776,5.442220970024768,-5.696442782920251
6513046020070993024,-0.8260397728881896,-3.8223397837247415
6513051448909456128,4.8318098727037455,-5.307326072494927
6513061099699523072,2.7375219759275025,-4.359724455751071
6513099312025080192,7.649538188202151,-3.888507797534607
6513124665215602048,6.016490080174787,-4.974076025771591
6513239224879036800,3.33672857189094,-4.595576800145885
6521489616538361088,6.232288048545048,-4.721085722012227
6521603068096940672,5.35641721915381,-4.737006625925369
6521609836965466240,3.2016745856755975,-2.235238324729779
6521658352915727616,6.2859394236377595,-1.294254780326051
6521715085141269632,8.909646451328012,-3.974113521727518
6521725049465406208,6.017111734368071,-4.324013486532294
6521735219947993344,6.941325003901566,-2.76598145272068
6521824104294587648,4.800829903240707,-4.171246366486347
6521843487483451520,6.055744964331335,-3.196929574248082
6521902380075058560,4.818507101392102,-2.7971903620523983
6522058098410158976,9.717513107040972,-1.6768009925897909
6522076991968029312,5.701971487718763,-2.216701214405293
6522139908947318784,0.7763012797094662,-3.475485616640206
6522180831395756672,-0.09898483162380353,-2.248994040909503
6522494364007548800,7.658211276863808,-2.8020724838837268
6562548679253401856,4.630129543474372,-7.413271362176671
6562587677556543360,2.852319749557001,-4.653324736862126
6562749232749778688,1.0457905089357182,-3.8038428531049084
6562760781918873472,-0.536024271030032,-4.922178885787473
6562762736127123072,1.6747153342965029,-2.3785871959387364
6562833418405301248,5.515079244654888,-3.4507665495753166
6562865196866550528,4.949848427086785,-8.288114011567053
6562867911285893760,4.7458688323175435,-7.640376414641542
6563619118245968384,2.220753538657478,-7.7417682375920585
6564100502477502208,2.701708699970908,-6.684464848209254
6564132349657769856,1.6445907377053977,-5.9094402319634405
6564297757439499648,2.353845900830418,-2.7674399843017126
6564354455303629696,6.572149219254176,-4.781015618204887
6564355864052893312,5.552465953393315,-7.960888110157536
6564372902186381184,3.6781844309697656,-4.188286778602973
6564392354093435008,4.731997671560564,-7.699242096939765
4972350953604263424,-0.5157055872878455,-4.860332095057938
4973110918000434176,6.925417786229956,-3.508990494538848
4973145522554163840,1.8422433129885503,-2.5316577606605204
4973177610252971904,9.42884252327704,-3.437699919656289
4973435759264101632,1.4834066727743282,-1.8466982717798999
4973469083913264256,1.1273993925415198,-1.8547363747035992
6500912015906298112,4.337184444233248,-4.161264210651301
6502202116706105984,1.4372084080645355,-2.6034683355026775
6512740768155408768,5.7805695911123935,-5.588114888042513
6512969943314579840,4.6260747213581155,-2.489006883566239
6512973173130009344,5.5559691443218,-5.909157633394301
6512975612671432960,8.11962334380223,-4.405030006675835
6513009598748302976,5.801534419162329,-4.13752784903039
6513024235995633536,5.855040767085885,-5.5780537260162575
6513114219855440512,7.132227955927025,-5.910284924196445
6513160811660906880,7.5180522423282685,-5.678541782937071
6513186237867381504,5.69583147267337,-5.579570105306578
6513199603804862592,5.400324639234009,-2.9141434882853448
6513241561341245056,-0.008689852167900858,-3.411092700999049
6513293749488728960,6.3834183086084,-5.01522262399307
6514556469873885824,3.283692956932364,-4.792944779643932
6514559703984343168,-0.689415236853298,-3.299245466467001
6521721991448679040,5.959789915937042,-2.6545718238059814
6521790088153147776,6.141711280201932,-3.7569911883276035
6521880080604869632,8.765638621509128,-5.226855996943527
6521880424202251648,5.988025503453148,-5.58753609373672
6522088742999155072,4.534795910447974,-1.212674035908591
6522115719691469952,6.432056512916613,-1.9882200478923016
6522128634655364096,2.817975060737124,-4.174400902152408
6522138019161713408,6.026754370197373,-3.3371276575197717
6522142069313256192,2.4049175798377314,-1.3942239511179482
6522385546716216960,7.111399321035792,-3.8373260950133687
6522409628595685376,6.123875946342193,-4.922875041313167
6522446947568782592,0.5080988819974952,-2.702280491627857
6522508966896416384,5.291737917711609,-1.534083616045519
6522511303358631936,8.908255440809285,-3.6944221457739213
6522522195395677824,0.9310798707634023,-2.8940144216067125
6562710238743479552,0.24710147798549897,-4.118741536524022
6562722986206472960,4.785811785659065,-4.345589448519711
6562758028842898048,-3.557485365704678,-1.71497472198481
6562798538974764800,2.9537440020144823,-7.76928641896957
6562836609564767616,2.9610414835109373,-3.722426947792223
6564060125488224256,3.78811609885591,-4.871845395813946
6564076961764076160,0.8281439623926761,-4.814501971887309
6564104728725283840,7.737401965000798,-8.112183473545324
6564119670914535296,0.02614335093869624,-2.873203718581057
6564129910116682624,2.91640793842237,-5.313891795761016
6564130734750413184,4.223231186091854,-5.925435484793951
6564133144229027840,0.43850709032954116,-5.893480398858875
6564134037582226304,0.6959559647492051,-4.571886950251708
6564208563855033344,-0.10736216808927357,-4.267335445641456
6564331086385125504,4.604863370102222,-4.311442009132492
6564339985557440000,5.468829153131024,-3.8283833618667296
6564362216307580544,2.7643829614418625,-6.259784183824476
4972334735807729408,6.27592810252091,-2.0292769267523965
4972357413235037696,8.479002925209604,-4.939511048894342
4973197921155272832,6.949241194303309,-2.865482386671314
4973408821229234048,5.850347394508496,-4.359290168179832
4973424695428295296,2.2587263206407933,-2.4230760067036297
4973479323115257088,-1.8678393407575384,-1.6525625542467721
6502309151586951680,7.851980823023586,-2.537421235811733
6502362065584109696,5.28528755771398,-3.452515487521552
6502431197377756416,9.519184171148684,-3.678372915301698
6512735231941380224,6.810206896340875,-7.199264732704449
6512867688732307072,1.720419037255208,-4.450897085540613
6513047768122243456,3.7825557421905946,-7.145913888115288
6513100750837967488,6.080104484634697,-6.237667217833907
6513120301529276288,8.274166052944027,-6.3460310588734075
6513179816892140672,8.879543211968802,-4.219478166896909
6513287839613570304,1.559019768359409,-3.090614545643623
6513289695039541504,5.015489723735981,-4.693864026892674
6513904322039134592,4.455471826081245,-3.083628970178623
6514480397412608768,0.35217006602394524,-2.7503178415391085
6521633442105832448,8.299622045441486,-3.1191294827716898
6521753842926175232,-1.9531745867779302,-4.771063552955568
6521785866202111744,1.5656292540664625,-4.098814650864857
6521955839530775296,6.350695613794588,-3.0017333321550295
6522088571200436352,4.055306729713561,-3.318007627553996
6522391937627569664,0.5632267419739133,-1.297611565420865
6522514082200031360,0.9734820303155369,-0.9123957639860951
6562547644164935936,-0.9304184683398481,-2.2676991645718934
6562727964071997440,2.979645033694241,-7.223426349869479
6562728071447798784,5.225806348136961,-6.88227168813405
6562739921260663808,3.9886553824421256,-4.392091897044796
