# Extended version of Table 4.
# Column Descriptions
# 1. R.A. - Right ascension (J2000, deg)
# 2. Dec - Declination (J2000, deg)
# 3. pmra - Proper motion in R. A. (mas/yr)
# 4. pmra_e - Error in pmra (mas/yr)
# 5. pmdec - Proper motion in Dec (mas/yr)
# 6. pmdec_e - Error in pmdec (mas/yr)
# 7. V_R - Measured Radial Velocity (km/s)
# 8. V_R_e - Error in V_R (km/s)
# 9. g - g-band magnitude from PanSTARRS-1 (mag)
# 10. g-i - colour g - i from PanSTARRS-1 (mag)
# 11. Source - Source of detection. Ib17 - Ibata et al. 2017, O09 - Odenkirchen et al. 2009, Is16 - Ishigaki et al. 2019, K22 - this paper.
# R.A.    Dec    pmra   pmra_e pmdec  pmdec_e V_R    V_R_e g     g-i  Source  
  228.978 -0.115 -2.664 0.09   -2.825 0.078   -55.48 0.61  17.63 0.87 Ib17    
  229.027 -0.117 -2.799 0.054  -2.686 0.048   -55.32 0.58  16.81 1.01 Ib17    
  228.946 -0.117 -2.593 0.264  -2.378 0.214   -60.14 2.64  19.17 0.74 Ib17    
  229.015 -0.121 -2.747 0.122  -2.657 0.107   -53.21 1.68  18.19 0.82 Ib17    
  229.075 -0.124 -2.952 0.221  -2.621 0.174   -56.44 0.76  18.69 0.77 Ib17    
  229.086 -0.126 -2.739 0.158  -2.556 0.13    -57.55 0.75  18.38 0.81 Ib17    
  229.035 -0.127 -2.818 0.093  -2.656 0.075   -55.41 1.16  17.66 0.87 Ib17    
  228.969 -0.128 -2.734 0.047  -2.661 0.04    -53.78 0.58  16.6  0.95 Ib17    
  229.008 -0.134 -2.875 0.059  -2.623 0.046   -55.85 0.84  16.86 1.03 Ib17    
  229.036 -0.134 -2.756 0.045  -2.636 0.035   -54.54 0.58  16.34 1.12 Ib17    
  229.034 -0.142 -2.414 0.244  -2.805 0.202   -79.59 4.62  19.05 0.74 Ib17    
  229.045 -0.142 -2.767 0.193  -2.359 0.158   -53.57 1.59  18.74 0.77 Ib17    
  229.087 -0.145 -2.67  0.041  -2.655 0.034   -55.91 0.58  16.13 1.21 Ib17    
  228.988 -0.147 -2.921 0.144  -2.583 0.119   -55.82 2.46  18.39 0.8  Ib17    
  228.998 -0.15  -2.772 0.069  -2.706 0.056   -56.46 0.58  17.08 0.95 Ib17    
  229.002 -0.152 -1.945 0.34   -2.921 0.278   -57.62 3.59  19.61 0.73 Ib17    
  229.067 -0.158 -2.742 0.056  -2.701 0.045   -42.96 0.58  16.74 1.07 Ib17    
  229.062 -0.162 -2.805 0.233  -2.502 0.191   -55.52 1.28  19.05 0.74 Ib17    
  228.993 -0.163 -2.754 0.12   -2.678 0.087   -54.79 0.59  17.91 0.85 Ib17    
  229.032 -0.172 -2.734 0.061  -2.819 0.045   -58.16 0.75  16.37 1.01 Ib17    
  229.014 -0.207 -2.555 0.269  -2.75  0.214   -52.76 0.99  19.15 0.76 Ib17    
  229.098 -0.214 -2.811 0.298  -2.876 0.265   -60.28 1.54  19.57 0.68 Ib17    
  229.102 -0.253 -2.908 0.274  -2.557 0.259   -57.72 1.0   19.38 0.73 Ib17    
  229.006 -0.269 -2.718 0.079  -2.742 0.072   -54.93 0.66  17.62 0.95 O09/Ib17
  229.146 -0.29  -2.794 0.043  -2.666 0.039   -57.59 0.76  16.57 1.05 Ib17    
  228.572 -0.552 -2.777 0.131  -2.598 0.12    -58.01 2.94  18.47 0.83 Ib17    
  228.523 -0.592 -2.732 0.148  -2.76  0.134   -57.6  2.55  18.69 0.77 Ib17    
  228.419 -0.708 -2.761 0.061  -2.817 0.057   -56.87 1.98  17.31 0.93 Ib17/K22
  228.586 -0.773 -2.503 0.116  -2.736 0.098   -54.12 1.3   18.09 0.83 O09/Ib17
  228.644 -0.808 -2.795 0.123  -2.748 0.102   -56.3  1.39  18.3  0.83 O09/Ib17
  228.477 -0.819 -2.58  0.174  -2.745 0.138   -69.85 3.9   18.74 0.78 Ib17    
  228.539 -0.878 -2.836 0.165  -2.887 0.124   -65.5  3.91  18.68 0.79 K22     
  228.349 -0.946 -2.355 0.168  -2.904 0.138   -59.31 0.51  18.69 0.75 O09     
  228.379 -0.96  -2.748 0.202  -2.775 0.182   -59.88 1.24  18.98 0.75 O09     
